Rank,Topic ID,Topic label,Broad theme,Documents,Proportion of all documents (%),Proportion of valid documents (%),Representative keywords,Representative titles
1,0,Porcine viral infections and viral replication,Infectious disease and virology,2869,5.93,7.66,"prrsv, porcine, pcv2, pedv, replication, viral, asfv, porcine reproductive, reproductive respiratory, respiratory syndrome",Detection of African swine fever virus in archived Formalin fixed Paraffin embedded swine tissue sections in Uganda using Immunohistochemistry (IHC) and Polymerase chain reaction (PCR) | Preparation and identification of a novel monoclonal antibody against African swine fever virus p15 protein | In vitro expression of the goose astrovirus Cap protein delivered with a duck enteritis virus vector
2,1,Anthelmintic resistance and gastrointestinal nematodes,Parasitology,1797,3.72,4.8,"anthelmintic, contortus, egg, haemonchus, hepatica, nematode, fec, nematodes, haemonchus contortus, eggs","Perceptions on anthelmintic use and resistance development in goats under communal production systems | Factors contributing to the abundance and spatial distribution of the invasive intermediate host snail (Pseudosuccinea columella) in uMgungundlovu district, KwaZulu-Natal, South Africa | Association between Capillaria hepatica infection-induced alterations in gut microbiota and estrogen expression in Brandt’s voles (Lasiopodomys brandtii)"
3,2,"Salmonella, Escherichia coli, and antimicrobial resistance",Bacterial infection and antimicrobial resistance,1652,3.42,4.41,"salmonella, coli, escherichia coli, escherichia, isolates, esbl, enterica, typhimurium, coli isolates, antimicrobial resistance","Antimicrobial resistance, virulence gene profiles, and phylogenetic groups of Escherichia coli isolated from healthy broilers and broilers with colibacillosis in Thailand | Rabbit carcasses as important vectors of multidrug-resistant Enterococcus faecalis, but not E. faecium: prevalence and molecular characterization from a study in Poland | Genomic tracing and resolution of environmental Klebsiella pneumoniae ST307 CTX-M-15 linked to a nosocomial urinary tract infection in a cat: a veterinary teaching hospital case study"
4,3,Transboundary viral diseases and biosecurity,Infectious disease and biosecurity,1498,3.1,4.0,"fmd, foot mouth, asf, fmdv, mouth, biosecurity, foot, surveillance, outbreaks, farmers","Assessment of hunters’ awareness of African swine fever in Samara Oblast, the Russian federation | Camel pastoralists’ perceptions of udder health: results from a qualitative interview study in Northern Kenya | VP1 region-based molecular characterization of foot-and-mouth disease virus serotype O from clinical cases in Haryana, India"
5,4,"Veterinary anaesthesia, analgesia, and sedation",Clinical medicine and anaesthesia,1399,2.89,3.73,"minutes, analgesia, sedation, ketamine, propofol, isoflurane, mg kg, dexmedetomidine, anaesthesia, anesthesia",Efficacy of caudal epidural injection of Xylazine-Lidocaine HCl and detomidine-lidocaine HCl in domestic horses (Equus ferus caballus) | Developing a PK-PD model for propofol in exhaled air and the BIS following fospropofol disodium in beagles | Involvement of central opioid and melanocortin receptors in spexin-induced hypophagia following intracerebroventricular injection in neonatal broiler chicks
6,5,Neurology and diagnostic imaging,Clinical medicine and diagnostics,1293,2.67,3.45,"epilepsy, mri, seizures, spinal, seizure, intervertebral, disc, imaging, magnetic resonance, magnetic",Automated brain extraction for canine magnetic resonance images | Genetic counseling in veterinary medicine: towards an evidence-based definition for the small animal practice | Lattice radiation therapy for canine sinonasal carcinoma: feasibility study of spatially fractionated radiotherapy using volumetric modulated arc therapy
7,6,Veterinary oncology and lymphoma,Clinical medicine and oncology,1266,2.62,3.38,"cancer, tumor, lymphoma, tumors, mammary, canine, chemotherapy, malignant, tumours, canine mammary",Overexpression of IL-6 and STAT3 may provide new insights into ovine pulmonary adenocarcinoma development | Intrapatient application of lymphoscintigraphy and near-infrared fluorescence in canine and feline sentinel lymph node mapping and removal | Evaluation of plasma nucleosome concentrations and the effect of pre-analytical variables in healthy cats
8,7,Tick-borne and vector-borne diseases,Parasitology and vector-borne disease,1211,2.5,3.23,"tick, babesia, ticks, theileria, anaplasma, bartonella, borne, tick borne, canis, ehrlichia","Molecular study of Francisella spp. from ticks in hedgehogs (Erinaceus europaeus) in urban-suburban areas of West Azerbaijan Province | Detection and molecular identification of scrub typhus vectors and pathogens from rice field rats, a traditional food item of Mizo tribes in Mizoram, Northeast India | Attachment sites of Ixodes ricinus, Ixodes hexagonus/Ixodes canisuga and Dermacentor reticulatus ticks and risk factors of infestation intensity and engorgement duration in dogs and cats"
9,8,"Rabies, dog population health, and veterinary education",Public health and education,1158,2.4,3.09,"rabies, students, dog, education, pet, roaming, participants, skills, training, clients",Towards mHealth applications for pet animal owners: a comprehensive literature review of requirements | Ethical collection of animal cadavers for veterinary education | Evaluation of the spatial distribution pattern of animal bites in Southern Iran: implications for public health interventions
10,9,Dairy cattle lameness and calf health,Production animal health,1148,2.37,3.06,"lameness, dairy, cows, calf, footrot, dd, calves, claw, farmers, cow","Adaptability of Polish Red cows to extensive conditions | Classification of individual dairy cow behaviors using accelerometer, gyroscope, and integrated sensor models | Dairy cattle welfare: knowledge, attitudes and practices of stockpeople from Midlands Province-Zimbabwe’s large-scale dairy farms"
