Rank,Topic ID,Topic label,Broad theme,Documents,Proportion of valid documents (%),Representative keywords
1,0,Porcine viral infections and viral replication,Infectious disease and virology,2869,7.66,"prrsv, porcine, pcv2, pedv, replication, viral, asfv, porcine reproductive, reproductive respiratory, respiratory syndrome"
2,1,Anthelmintic resistance and gastrointestinal nematodes,Parasitology,1797,4.8,"anthelmintic, contortus, egg, haemonchus, hepatica, nematode, fec, nematodes, haemonchus contortus, eggs"
3,2,"Salmonella, Escherichia coli, and antimicrobial resistance",Bacterial infection and antimicrobial resistance,1652,4.41,"salmonella, coli, escherichia coli, escherichia, isolates, esbl, enterica, typhimurium, coli isolates, antimicrobial resistance"
4,3,Transboundary viral diseases and biosecurity,Infectious disease and biosecurity,1498,4,"fmd, foot mouth, asf, fmdv, mouth, biosecurity, foot, surveillance, outbreaks, farmers"
5,4,"Veterinary anaesthesia, analgesia, and sedation",Clinical medicine and anaesthesia,1399,3.73,"minutes, analgesia, sedation, ketamine, propofol, isoflurane, mg kg, dexmedetomidine, anaesthesia, anesthesia"
6,5,"Neurology, spinal disorders, and diagnostic imaging",Clinical medicine and diagnostics,1293,3.45,"epilepsy, mri, seizures, spinal, seizure, intervertebral, disc, imaging, magnetic resonance, magnetic"
7,6,Veterinary oncology and lymphoma,Clinical medicine and oncology,1266,3.38,"cancer, tumor, lymphoma, tumors, mammary, canine, chemotherapy, malignant, tumours, canine mammary"
8,7,Tick-borne and vector-borne diseases,Parasitology and vector-borne disease,1211,3.23,"tick, babesia, ticks, theileria, anaplasma, bartonella, borne, tick borne, canis, ehrlichia"
9,8,"Rabies, animal-bite prevention, and veterinary education",Veterinary public health and education,1158,3.09,"rabies, students, dog, education, pet, roaming, participants, skills, training, clients"
10,9,Dairy cattle lameness and calf health,Production animal health,1148,3.06,"lameness, dairy, cows, calf, footrot, dd, calves, claw, farmers, cow"
11,10,Bovine viral diseases,Infectious disease and virology,1079,2.88,"bvdv, btv, sbv, bovine viral, bluetongue, bvd, ppr, pprv, viral diarrhea, viral"
12,11,Poultry production and health,Poultry health and production,1072,2.86,"broilers, broiler, hens, laying, feed, chicks, diet, chickens, broiler chickens, growth performance"
13,12,Fish health and aquaculture,Aquatic animal health,1027,2.74,"fish, salmon, aquaculture, carp, tilapia, trout, nile tilapia, aeromonas, rainbow trout, rainbow"
14,13,Equine endocrine and metabolic disorders,Equine medicine,1015,2.71,"insulin, laminitis, horses, ppid, ponies, colic, glucose, acth, lamellar, equine"
15,14,Bovine tuberculosis and mycobacterial diseases,Mycobacterial disease,984,2.63,"tuberculosis, btb, mycobacterium, map, paratuberculosis, tb, avium, bovine tuberculosis, mycobacterium avium, bovis"
16,15,"Equine lameness, tendon injury, and racing medicine",Equine medicine,972,2.59,"tendon, racing, distal, lameness, joint, horses, fractures, bone, racehorses, trot"
17,16,"Toxoplasma gondii, Neospora caninum, and protozoal infections",Parasitology,950,2.54,"gondii, caninum, toxoplasma, toxoplasma gondii, burnetii, neospora, neospora caninum, sarcocystis, toxoplasmosis, seroprevalence"
18,17,"Dental, oral, and orthopedic disorders",Clinical medicine and orthopedics,946,2.52,"teeth, dental, tooth, hip, mandibular, periodontal, cheek, maxillary, joint, osteoarthritis"
19,18,Renal and urinary disorders,Clinical medicine,927,2.47,"ckd, renal, urinary, urine, kidney, creatinine, aki, chronic kidney, sdma, urethral"
20,19,Cardiology and echocardiographic assessment,Clinical medicine and cardiology,920,2.46,"cardiac, atrial, mitral, ventricular, echocardiographic, valve, mitral valve, echocardiography, chf, hcm"
